id;feedback_text;time
1;../fake-data/blob/hipster.txt;2024-04-04T07:34:39
2;../fake-data/blob/hipster.txt;2024-04-04T06:34:31
3;../fake-data/blob/hipster.txt;2024-04-04T06:05:07
4;../fake-data/blob/hipster.txt;2024-04-04T12:49:45
5;../fake-data/blob/hipster.txt;2024-04-04T04:19:22
6;../fake-data/blob/hipster.txt;2024-04-04T00:44:15
7;../fake-data/blob/hipster.txt;2024-04-04T08:23:23
8;../fake-data/blob/hipster.txt;2024-04-04T00:45:53
9;../fake-data/blob/hipster.txt;2024-04-04T07:06:50
10;../fake-data/blob/hipster.txt;2024-04-04T10:19:52
